les	die
chêne	eiche
transformé	verwandelt
transformé	verarbeitet
adversaires	gegner
boys	boys
compagnon	begleiter
paolo	paolo
radical	radikal
partenariat	partnerschaft
entrées	einträge
stratégique	strategische
réfugiés	flüchtlinge
berger	berger
cache	zwischenspeicher
œufs	eier
tentatives	versuche
particularité	besonderheit
emma	emma
miles	meilen
miles	miles
distinguer	unterscheiden
doublé	verdoppelt
boxe	boxen
tarn	tarn
compagnons	gefährten
challenge	challenge
adolphe	adolphe
serpent	schlange
jeudi	donnerstag
georg	georg
parker	parker
isaac	isaac
isaac	isaak
foyer	foyer
invite	lädt
rencontrer	kennenlernen
étang	teich
symboles	symbole
vols	flüge
voûte	bogen
murray	murray
racines	wurzeln
houston	houston
équipé	ausgerüstet
équipé	ausgestattet
parfait	perfekt
roumain	rumänisch
affluents	nebenflüsse
mali	mali
repos	erholung
repos	ausruhen
gardes	wachen
gand	gent
romane	romanischen
romane	romane
vents	winde
rap	rap
circulaire	rundschreiben
fribourg	freiburg
décennies	jahrzehnte
family	family
uruguay	uruguay
esthétique	ästhetik
suzanne	suzanne
coloniale	kolonialen
adams	adams
wayne	wayne
malte	malta
spider	spider
ahmed	ahmed
anton	anton
citation	zitat
loiret	loiret
républicains	republikaner
indiens	indianer
appliquer	anwenden
tournant	wendepunkt
crédité	gutgeschrieben
tests	tests
neutralité	neutralität
sépare	trennt
bière	bier
arr	arr
arnold	arnold
julia	julia
industries	industrien
destin	schicksal
angel	angel
archéologiques	archäologischen
invention	erfindung
ottawa	ottawa
podium	podium
what	what
emplois	jobs
confusion	verwirrung
clergé	klerus
spécialement	speziell
mosquée	moschee
personnellement	persönlich
étrange	seltsam
crimes	verbrechen
nobles	edlen
vendre	verkaufen
maintenance	wartung
vicomte	vicomte
marshall	marshall
sorbonne	sorbonne
lang	lang
vallées	täler
inc	inkl
inc	inc
just	just
passa	verging
project	project
suites	suiten
contrôler	kontrollieren
pietro	pietro
colons	siedler
aurais	hätt
ferrand	ferrand
brésilienne	brasilianischen
arsenal	arsenal
adrien	adrien
larry	larry
majoritairement	überwiegend
policiers	polizisten
mayenne	mayenne
marion	marion
robe	kleid
baker	baker
normalement	normalerweise
jay	jay
stewart	stewart
phénomènes	phänomene
similaires	ähnliche
sage	weise
béton	beton
lions	lions
idéal	ideal
lionel	lionel
good	good
particules	teilchen
écurie	stall
soprano	soprano
kennedy	kennedy
harris	harris
shakespeare	shakespeare
masters	masters
refusé	abgelehnt
coureurs	läufer
extraits	auszüge
cadet	kadett
tribune	tribüne
hip	hip
coule	fließt
down	down
pau	pau
mineurs	minderjährige
dei	dei
commis	verübt
commis	begangen
physicien	physiker
bobby	bobby
dangereux	gefährlich
modes	modi
utilité	nützlichkeit
adoption	adoption
robinson	robinson
usines	fabriken
panneau	panel
pomme	apfel
media	media
inscriptions	aufdruck
messieurs	herren
nil	nil
rosa	rosa
bologne	bologna
seed	seed
justification	begründung
saga	saga
salvador	salvador
reconnaître	erkennen
principauté	fürstentum
volant	lenkrad
dents	zähne
may	may
algérien	algerischen
tommy	tommy
richesse	reichtum
subi	erlitten
acquiert	erwirbt
ports	häfen
terry	terry
mardi	dienstag
sprint	sprint
travaillant	arbeitend
matthew	matthew
cerveau	gehirn
fabrique	fertigt
arte	arte
voter	abstimmen
diplomate	diplomat
relatif	relative
sommets	gipfel
dramaturge	dramatiker
écologique	umweltfreundlich
écologique	ökologischen
joan	joan
architectes	architekten
transformer	verwandeln
eurent	hatten
habitude	gewohnheit
modeste	bescheiden
interface	schnittstelle
animé	animierte
animé	animiert
ludwig	ludwig
dérivé	abgeleitet
marcus	marcus
ottoman	osmanischen
universal	universal
imaginaire	imaginären
microsoft	microsoft
lens	lens
bucarest	bukarest
interventions	interventionen
témoignage	zeugnis
arizona	arizona
satellites	satelliten
wrestling	wrestling
circonstances	umstände
chancelier	kanzler
heart	heart
déclin	niedergang
déclin	rückgang
thermique	thermische
énorme	riesig
réformes	reformen
partenaires	partner
tombeau	grab
bruit	lärm
tchécoslovaquie	tschechoslowakei
devise	währung
universel	universellen
annie	annie
water	water
mercredi	mittwoch
limiter	begrenzen
sons	töne
circuits	schaltungen
mono	mono
clinique	klinik
pennsylvanie	pennsylvania
équation	gleichung
gouvernements	regierungen
cirque	zirkus
eddie	eddie
progression	progression
cooper	cooper
intégrée	integriert
vichy	vichy
tendances	tendenzen
dick	dick
urbanisme	stadtplanung
électeurs	wähler
simone	simone
thompson	thompson
variantes	varianten
aéronautique	luftfahrt
rochelle	rochelle
aigle	adler
salariés	beschäftigte
namur	namur
suspension	suspension
suspension	aussetzung
royaumes	königreiche
pen	pen
corriger	korrigieren
flag	flag
prière	gebet
dallas	dallas
xvie	xvie
admins	admins
nationalités	nationalitäten
colonisation	kolonisierung
women	women
pablo	pablo
appeler	anrufen
religions	religionen
wars	wars
lloyd	lloyd
chaud	heiß
year	year
fans	fans
adjectifs	adjektive
socks	socks
attraction	attraktion
abandonner	aufgeben
colère	zorn
cruz	cruz
réactions	reaktionen
symbolique	symbolische
transforme	verwandelt
patricia	patricia
races	rassen
way	way
renaud	renaud
naval	naval
león	león
armé	bewaffnet
graham	graham
digital	digital
sensible	empfindlich
compositions	kompositionen
walker	walker
vertu	tugend
rhénanie	rheinland
atteinte	erreicht
french	german
jennifer	jennifer
con	con
croit	glaubt
franklin	franklin
palestine	palästina
chiens	hunde
priori	priori
bryan	bryan
extraction	extraktion
berry	berry
kurt	kurt
eva	eva
préciser	angeben
mécanisme	mechanismus
angoulême	angoulême
séville	sevilla
geneviève	geneviève
bulgare	bulgarisch
morbihan	morbihan
soul	soul
mrs	mrs
alpha	alpha
abus	missbrauch
tube	rohr
miroir	spiegel
acheter	kaufen
alberta	alberta
rick	rick
primaires	primären
descendant	nachkomme
magie	magie
fromage	käse
exécuté	ausgeführt
exécuté	hingerichtet
indiana	indiana
estimé	geschätzt
conjoint	ehepartner
lie	lie
lie	verbindet
chaire	lehrstuhl
trinité	trinity
traduire	übersetzen
identifier	identifizieren
nov	nov
protocole	protokoll
galaxie	galaxie
blessures	verletzungen
jacqueline	jacqueline
batteur	schlagzeuger
roues	räder
stefan	stefan
allan	allan
harold	harold
vidéos	videos
pauvre	arme
confirmé	bestätigt
enseignants	lehrer
copenhague	kopenhagen
rayonnement	strahlung
ordinaire	ordentlichen
gênes	genua
alto	alto
sky	sky
sergent	sergeant
yyy	yyy
retard	verspätung
maxime	maxime
cleveland	cleveland
rebelles	rebellen
biologique	biologische
inventeur	erfinder
chars	panzer
sea	sea
hérault	hérault
couches	schichten
couches	windeln
renforcer	verstärken
manches	ärmel
brabant	brabant
bach	bach
coin	ecke
conventions	konventionen
rénovation	renovierung
débutant	anfänger
identification	identifizierung
typique	typisch
kate	kate
molière	molière
arcade	arcade
delta	delta
rafael	rafael
pakistan	pakistan
yvelines	yvelines
bloquer	blockieren
sant	sant
socialistes	sozialisten
kosovo	kosovo
nordique	nordische
preuves	beweise
afghanistan	afghanistan
ncaa	ncaa
people	people
helen	helen
arrêts	urteile
aimé	geliebt
projection	projektion
popularité	popularität
han	han
synagogue	synagoge
simpson	simpson
calvados	calvados
campbell	campbell
verdun	verdun
courbe	kurve
pan	pan
mercure	quecksilber
plomb	blei
synonyme	synonym
gymnastique	gymnastik
envie	lust
envie	neid
light	light
troyes	troyes
polo	polo
prononcé	ausgesprochen
constellation	konstellation
diane	diane
déplacer	verschieben
mitchell	mitchell
ngc	ngc
armoiries	wappen
commandes	bestellungen
mickey	mickey
légendes	legenden
africains	afrikaner
mercedes	mercedes
bâton	stock
cartons	kartons
raphaël	raphael
kiev	kiew
sac	tasche
flûte	flöte
plaques	platten
dispositions	bestimmungen
cratère	krater
annexe	anlage
annexe	anhang
hard	hard
feat	feat
ralph	ralph
leo	leo
traction	traktion
géologie	geologie
parlé	sprach
cnrs	cnrs
harvard	harvard
bowl	bowl
chasseur	jäger
java	java
sénateurs	senatoren
signer	unterschreiben
signer	unterzeichnen
trou	loch
permanent	ständigen
permanent	dauerhaft
put	put
lorient	lorient
matériau	werkstoff
neil	neil
copa	copa
ron	ron
sondage	umfrage
moon	moon
légale	gesetzlich
légale	gesetzliche
inspire	inspire
appartement	wohnung
diriger	leiten
diriger	lenken
pure	reine
pure	pure
pourcentage	prozentsatz
carrefour	kreuzung
evans	evans
alexandrie	alexandria
patients	patienten
susan	susan
garcía	garcía
dublin	dublin
harvey	harvey
justin	justin
dunkerque	dünkirchen
couramment	fließend
patient	patient
missouri	missouri
référendum	referendum
roses	rosen
pèlerinage	pilgerfahrt
robot	roboter
sony	sony
turcs	türken
calcaire	kalkstein
fame	fame
posé	gestellt
stockage	lagerung
réservé	reserviert
traductions	übersetzungen
url	url
wright	wright
jon	jon
río	río
brut	brutto
pur	rein
pur	reine
triangle	dreieck
pittsburgh	pittsburgh
défend	verteidigt
propagande	propaganda
convaincre	überzeugen
témoins	zeugen
sánchez	sánchez
législative	legislative
thaïlande	thailand
soin	obacht
militants	aktivisten
flamand	flämischen
hier	gestern
recettes	rezepte
quatuor	quartett
agnès	agnes
act	act
oublier	vergessen
conversion	umrechnung
conversion	umwandlung
folie	wahnsinn
orne	orne
dauphin	delphin
martina	martina
prototype	prototyp
magasins	geschäfte
athlètes	athleten
botaniste	botaniker
impulsion	impuls
stuttgart	stuttgart
luke	luke
températures	temperaturen
dépression	tiefstand
jorge	jorge
dean	dean
liverpool	liverpool
générations	generationen
bordure	umrandung
séquence	sequenz
polytechnique	polytechnique
placés	platziert
oct	okt
marge	marge
vatican	vatikan
woman	woman
apparitions	auftritte
bombe	bombe
croate	kroatisch
rachel	rachel
shanghai	shanghai
conduire	fahren
conduire	autofahren
capture	capture
barra	barra
disparaît	verschwindet
pourvoir	besetzen
timbres	briefmarken
déesse	göttin
lituanie	litauen
valenciennes	valenciennes
paragraphe	absatz
adn	dna
bec	auslauf
égal	gleich
hachette	hachette
situations	situationen
géométrie	geometrie
sexuelle	sexuell
gard	gard
nathan	nathan
semblable	ähnlich
finistère	finistère
possibilités	möglichkeiten
décennie	jahrzehnt
beaumont	beaumont
austin	austin
influences	einflüsse
century	century
like	like
gendarmerie	gendarmerie
estonie	estland
chypre	zypern
jun	jun
dell	dell
over	over
surfaces	oberflächen
sentiments	gefühle
qualifiés	qualifizierte
vitesses	geschwindigkeiten
canal+	canal+
instance	instanz
obligé	gezwungen
brouillon	entwurf
kings	kings
astronomie	astronomie
tombé	gefallen
escadron	geschwader
immatriculation	zulassung
claviers	tastaturen
mandats	mandate
sarthe	sarthe
istanbul	istanbul
témoignages	zeugnisse
laurence	laurence
consacrer	widmen
łódź	łódź
aviron	rudern
timbre	briefmarke
baptisé	getauft
mons	mons
théorique	theoretische
sean	sean
dégâts	schaden
arrondissements	arrondissements
considérablement	beträchtlich
louisiane	louisiana
absolue	absolute
spécialité	spezialität
prime	prämie
oracle	oracle
age	alter
melbourne	melbourne
polémique	polemik
vivants	lebend
compréhension	verständnis
field	field
habite	wohnt
catastrophe	katastrophe
démonstration	demonstration
thriller	thriller
creuse	creuse
greg	greg
nuits	nächte
lincoln	lincoln
volcan	vulkan
kent	kent
parlant	sprechend
grille	gitter
fernández	fernández
marvel	marvel
remarques	bemerkungen
spirou	spirou
sofia	sofia
hébreu	hebräisch
inhumé	beigesetzt
pat	pat
variables	variablen
vignoble	weingut
roue	rad
autorisé	zulässig
puissances	mächte
retenu	zurückgehalten
navigateur	navigator
navigateur	browser
albin	albin
organes	organe
business	business
causer	verursachen
sylvain	sylvain
compétence	kompetenz
décerné	verliehen
éliminer	eliminieren
fonctionnaires	beamte
démocrates	demokraten
bords	kanten
directrice	direktorin
fragments	fragmente
appuie	drück
seattle	seattle
bond	bond
mulhouse	mulhouse
missiles	raketen
ordonné	angeordnet
ordonné	befohlen
certifié	zertifiziert
chercheur	forscher
prépare	bereitet
innovation	innovation
combiné	kombiniert
ref	ref
amy	amy
turner	turner
ardèche	ardèche
fortifications	befestigungsanlagen
forest	forest
burkina	burkina
yonne	yonne
sachant	wissend
effectifs	personalbestand
devraient	sollten
répression	unterdrückung
blé	weizen
his	his
conrad	conrad
rousseau	rousseau
meyer	meyer
stable	stabil
correspondent	entsprechen
ecclésiastique	kirchlichen
fonctionnaire	beamter
catholicisme	katholizismus
rayons	speichen
height	height
silva	silva
linéaire	linear
commandé	bestellt
bretonne	bretonische
brevet	patent
mémorial	gedenkstätte
propulsion	antrieb
mythe	mythos
faso	faso
fire	fire
bouches	münder
mohammed	mohammed
grey	grey
prochaine	nächste
léonard	léonard
degrés	grad
flammarion	flammarion
philosophique	philosophische
styles	stile
doubs	doubs
nazis	nazis
guyane	guyana
talk	talk
elisabeth	elisabeth
aude	aude
alexandra	alexandra
caméra	kamera
andreas	andreas
legend	legend
régulier	regelmäßigen
mix	mix
sound	sound
immigration	einwanderung
connais	kenn
werner	werner
airlines	airlines
pollution	verschmutzung
garcia	garcia
fayard	fayard
marocain	marokkaner
filmographie	filmografie
hôte	gastgeber
revers	rückschlag
sergio	sergio
organe	organ
signification	bedeutung
todd	todd
debout	stehend
duel	duell
panama	panama
poétique	poetisch
enregistrements	aufzeichnungen
épaisseur	dicke
#aaaaaa	#aaaaaa
hunter	hunter
heureux	glücklich
alaska	alaska
august	august
law	law
bébé	baby
moments	momente
illustrateur	illustrator
dépendant	abhängig
perse	persien
diesel	diesel
phoenix	phoenix
lópez	lópez
erik	erik
délai	frist
magic	magic
solidarité	solidarität
peugeot	peugeot
piémont	piemont
chapeau	hut
vénus	venus
régiments	regimenter
portait	trug
ted	ted
uniforme	uniform
serment	eid
libéraux	liberalen
éliminé	eliminiert
déroulement	ablauf
scandale	skandal
débarquement	anlandung
edit	edit
jésuites	jesuiten
wta	wta
échoue	scheitert
isle	isle
sebastian	sebastian
ducs	herzöge
alphabétique	alphabetisch
juliette	juliette
harmattan	harmattan
protestants	protestanten
arrestation	festnahme
arrestation	verhaftung
daté	datiert
cristal	kristall
combinaison	kombination
radar	radar
malaisie	malaysia
nominations	ernennungen
repas	mahlzeit
éthique	ethik
hesse	hessen
arms	arms
halle	halle
luxe	luxus
estimée	geschätzt
maîtresse	herrin
lorenzo	lorenzo
rob	rob
casablanca	casablanca
dennis	dennis
mail	mail
qualifier	qualifizieren
compositeurs	komponisten
artisans	handwerker
cat	cat
wood	wood
bourges	bourges
témoigne	zeugt
strictement	strikt
tâches	aufgaben
fallait	musste
impératrice	kaiserin
marquer	markieren
chartres	chartres
décoré	verziert
condé	conde
détective	detektiv
cohen	cohen
sarkozy	sarkozy
pole	pole
wagner	wagner
mondes	welten
wurtemberg	württemberg
salomon	salomon
prouver	beweisen
dette	schulden
dream	dream
meurthe	meurthe
bibliothèques	bibliotheken
cru	weinlese
dessert	dessert
dessert	nachtisch
blake	blake
nationaliste	nationalistischen
expert	experte
normand	normand
holmes	holmes
renard	fuchs
esclavage	sklaverei
magnétique	magnetische
mississippi	mississippi
collègues	kollegen
ille	ille
graines	samen
rébellion	rebellion
rtl	rtl
nova	nova
percussions	percussion
tueur	mörder
envoyés	gesendete
galeries	galerien
apparente	scheinbare
provincial	provincial
auxerre	auxerre
libérer	befreien
munitions	munition
divine	göttliche
warren	warren
bouddhisme	buddhismus
opera	opera
concepts	konzepte
harmonie	harmonie
magnus	magnus
révélé	offenbart
parlementaires	parlamentarier
collins	collins
blocs	blöcke
acheté	gekauft
bolivie	bolivien
coupé	geschnitten
#aaa	#aaa
législation	gesetzgebung
cerf	hirsch
révolutionnaires	revolutionäre
palatinat	pfalz
poméranie	pommern
sylvie	sylvie
posthume	posthume
wolfgang	wolfgang
mers	meere
lost	lost
johan	johan
cbs	cbs
reconstruit	umgebaut
canaux	kanäle
figaro	figaro
exercer	ausüben
envergure	spannweite
boucle	schleife
maçonnerie	mauerwerk
slovénie	slowenien
coordination	koordination
talents	talente
diplomatique	diplomatische
doux	süßen
pères	väter
partagé	geteilt
joint	dichtung
syndicats	gewerkschaften
nigeria	nigeria
lou	lou
gaulois	gallier
émilie	emilia
convaincu	überzeugt
nacional	nacional
leonard	leonard
concession	konzession
hainaut	hennegau
dérive	drift
eurovision	eurovision
égyptien	ägyptischen
naturaliste	naturforscher
juges	richter
hms	hms
avantages	vorteile
prévention	prävention
keith	keith
dommages	schaden
organique	organisch
impôt	steuer
vengeance	rache
bombardement	bombardierung
guadeloupe	guadeloupe
violoncelle	cello
impliqué	beteiligt
memorial	memorial
sfondo	sfondo
stage	praktikum
chantiers	baustellen
bros	bros
demain	morgen
nasa	nasa
mensuel	monatlich
équipée	ausgerüstet
équipée	ausgestattet
dakar	dakar
souveraineté	souveränität
profond	tief
occitan	okzitanisch
continuité	kontinuität
systématiquement	systematisch
attend	wartet
intensité	intensität
protéines	proteine
hollandais	holländisch
intéressé	interessiert
décrire	beschreiben
sauveur	erlöser
éclairage	beleuchtung
betty	betty
haye	haag
rochefort	rochefort
martinique	martinique
esp	esp
ita	ita
halte	halt
baccalauréat	abitur
gonzález	gonzález
appliquée	angewandte
atlético	atlético
joachim	joachim
sèvres	sèvres
gallois	waliser
jupiter	jupiter
protestante	protestantische
wwe	wwe
grace	grace
précipitations	niederschlag
marianne	marianne
bohême	böhmen
posée	gestellt
sidi	sidi
console	konsole
santos	santos
tombes	gräber
adolf	adolf
réservoir	tank
approfondir	vertiefen
more	more
linda	linda
vocabulaire	vokabular
vocabulaire	wortschatz
missile	rakete
utiles	nützliche
glasgow	glasgow
harrison	harrison
wallonie	wallonien
transept	querschiff
anneaux	ringe
cyr	cyr
fuir	fliehen
sentier	pfad
richelieu	richelieu
get	get
croisade	kreuzzug
boxeur	boxer
fifa	fifa
critère	kriterium
stanislas	stanislas
tensions	spannungen
lucie	lucie
rica	rica
casse	bricht
immobilier	immobilien
brigitte	brigitte
fresques	fresken
pattes	pfoten
économiste	ökonom
économiste	wirtschaftswissenschaftler
verbe	verb
bull	bull
adopter	adoptieren
craig	craig
évalué	bewertet
rond	rund
bnf	bnf
rudolf	rudolf
pokémon	pokémon
linux	linux
fabricant	hersteller
syntaxe	syntax
celtique	keltischen
singapour	singapur
michelle	michelle
joie	freude
costume	kostüm
hymne	hymne
douleur	schmerz
restauré	restauriert
gay	homosexuell
gay	schwul
vitraux	glasmalereien
mannequin	model
intense	intensiv
appartiennent	gehören
vegas	vegas
chimiste	chemiker
flash	flash
pacte	pakt
analyses	analysen
excellence	exzellenz
fritz	fritz
corruption	korruption
dépenses	ausgaben
vampire	vampir
comtés	grafschaften
platine	platin
perrin	perrin
pin	pin
angelo	angelo
moreau	moreau
haïti	haiti
nécessairement	notwendigerweise
european	european
cécile	cécile
return	return
abside	apsis
continu	kontinuierliche
rire	lachen
créations	kreationen
coupable	schuldig
report	report
monténégro	montenegro
terreur	terror
temporaire	vorübergehende
temporaire	temporär
wang	wang
brooklyn	brooklyn
ultra	ultra
fourni	bereitgestellt
sonde	sonde
baltimore	baltimore
télécommunications	telekommunikation
assurances	versicherungen
vélo	fahrrad
cloche	glocke
stabilité	stabilität
marketing	marketing
essonne	essonne
touché	berührt
nicholas	nicholas
exploitant	betreiber
végétation	vegetation
souffle	atem
pol	pol
diagnostic	diagnose
caraïbes	karibik
casino	kasino
musulman	muslim
observé	beobachtete
observé	beobachtet
appris	gelernt
mountain	mountain
fan	fan
sara	sara
remarqué	bemerkt
taïwan	taiwan
müller	müller
mammifères	säugetiere
potter	potter
doré	goldenen
toscane	toskana
rêves	träume
chômage	arbeitslosigkeit
signaler	melden
marina	marina
antilles	antillen
xbox	xbox
contacts	kontakte
poudre	pulver
avertissement	warnung
continental	continental
frederick	frederick
géré	verwaltet
théologien	theologe
algorithme	algorithmus
minuit	mitternacht
buste	büste
humide	feucht
catalan	katalanisch
contrats	verträge
censure	zensur
chapelles	kapellen
ménage	haushalt
bush	bush
marathon	marathon
solitaire	einsam
lombardie	lombardei
lazare	lazare
aveyron	aveyron
baies	beeren
beauvais	beauvais
avr	avr
perpignan	perpignan
peste	pest
wallace	wallace
instructions	anweisungen
controverse	kontroverse
aaron	aaron
soudan	sudan
lama	lama
détenu	häftling
murphy	murphy
divorce	scheidung
cook	cook
manhattan	manhattan
hardy	hardy
parme	parma
paiement	zahlung
fair	fair
systématique	systematische
rémy	rémy
prochain	nächste
morris	morris
survie	überleben
collégiale	kollegiale
hydrogène	wasserstoff
natural	natural
igor	igor
métaux	metalle
parrain	pate
km²	km²
révélation	offenbarung
hudson	hudson
avoue	gestehe
fabrice	fabrice
gravité	schwerkraft
gravité	schwere
valérie	valerie
groupement	gruppierung
belfort	belfort
pente	steigung
multi	multi
adhésion	mitgliedschaft
kid	kid
apple	apple
karen	karen
drôme	drôme
nazi	nazi
chanoine	domherr
narrateur	erzähler
complément	ergänzung
futurs	künftigen
traverser	überqueren
traverser	durchqueren
pacific	pacific
dons	spenden
patrie	vaterland
malo	malo
sèche	trocken
oxygène	sauerstoff
molécules	moleküle
céramique	keramik
uss	uss
judaïsme	judentum
pauvreté	armut
souligne	unterstreicht
africa	africa
exemplaire	exemplar
exemplaire	vorbildlich
wings	wings
enregistrer	speichern
monstre	monster
acides	säuren
morales	morales
perry	perry
roubaix	roubaix
brève	kurze
anthologie	anthologie
substance	substanz
geste	geste
matrice	matrix
nfl	nfl
sardaigne	sardinien
escrime	fechten
perception	wahrnehmung
charleroi	charleroi
axes	achsen
significations	bedeutungen
mayer	mayer
commonwealth	commonwealth
retenue	zurückhaltung
gregory	gregory
arménien	armenischen
domestique	häusliche
étymologie	etymologie
composants	komponenten
rival	rivalen
patriarche	patriarchen
dominant	dominierende
julian	julian
carburant	kraftstoff
voler	fliegen
dubois	dubois
vaucluse	vaucluse
capturé	gefangen
jet	jet
riz	reis
constance	konstanz
guatemala	guatemala
extraordinaire	außerordentliche
chan	chan
médicis	medici
doyen	dekan
bridge	bridge
créatures	kreaturen
otan	nato
indispensable	unverzichtbar
révision	revision
const	const
bulle	blase
alessandro	alessandro
pete	pete
médicaments	medikamente
cricket	cricket
ancêtres	vorfahren
olga	olga
touristes	touristen
terrible	schrecklich
blood	blood
battle	battle
hilaire	hilaire
confondre	verwechseln
barrière	barriere
soie	seide
essayé	versuchte
essayé	versucht
acoustique	akustik
colonial	colonial
amicalement	freundschaftlich
intellectuelle	geistigen
aluminium	aluminium
composées	asteraceae
piège	falle
biélorussie	weißrussland
doc	doc
citations	zitate
tragédie	tragödie
mozart	mozart
organiste	organist
excellent	ausgezeichnet
hart	hart
hôtels	hotels
arras	arras
horizon	horizont
silver	silver
pauline	pauline
hugh	hugh
amphibiens	amphibien
durand	durand
océanie	ozeanien
kenya	kenia
pilier	säule
diamant	diamant
derby	derby
tennessee	tennessee
chaos	chaos
chanter	singen
abrégé	abgekürzt
fusil	gewehr
serbes	serben
maintient	unterhält
marx	marx
reliques	reliquien
roberts	roberts
broadway	broadway
législatif	legislative
rotterdam	rotterdam
salaire	lohn
rappeur	rapper
watson	watson
ingénierie	ingenieurwesen
bayonne	bayonne
clara	clara
bataillons	bataillone
pérez	pérez
magistrat	magistrat
ethnique	ethnische
comarque	comarca
haies	hecken
flanc	flanke
randonnée	wandern
chambéry	chambéry
vignes	reben
contrainte	zwang
folk	folk
portails	portale
billets	eintrittskarten
apogée	höhepunkt
antarctique	antarktis
conducteur	fahrer
sphère	sphäre
lévy	lévy
libye	libyen
chirurgie	chirurgie
sent	riecht
oublié	vergessen
résidences	residenzen
grammaire	grammatik
critics	critics
yann	yann
balles	kugeln
balles	bälle
légendaire	legendär
tigre	tiger
compromis	kompromiss
horloge	uhr
middle	middle
séoul	seoul
parts	anteile
partager	teilen
pluriel	plural
omar	omar
monica	monica
rey	rey
dépôts	einlagen
josef	josef
michèle	michèle
pommes	äpfel
vannes	ventile
haine	hass
motte	motte
poussée	erhöhung
giorgio	giorgio
picard	picard
nommer	ernennen
set	set
lettonie	lettland
fermes	bauernhöfe
copies	kopien
restaurer	wiederherstellen
annecy	annecy
edwards	edwards
raid	raid
english	english
distances	entfernungen
plafond	decke
plafond	obergrenze
piscine	schwimmbad
donnés	gespendet
minorité	minderheit
california	california
ronald	ronald
charité	nächstenliebe
sienne	siena
emily	emily
explications	erklärungen
explications	erläuterungen
abel	abel
dessiné	gezeichnet
about	about
séparé	getrennt
graphe	graph
enregistrée	eingetragen
archéologue	archäologe
recommandations	empfehlungen
plainte	beschwerde
hippolyte	hippolyte
idéologie	ideologie
summer	summer
cage	käfig
préserver	bewahren
préserver	konservieren
souverains	herrscher
gaule	gallien
martine	martine
indochine	indochina
ménages	haushalte
buffalo	buffalo
juriste	jurist
démographie	demographie
sonate	sonate
regarde	schau
joueuses	spielerinnen
suffixe	suffix
corde	seil
geoffroy	geoffroy
oklahoma	oklahoma
documentaires	dokumentarfilme
sep	sep
pâte	teig
xviii	xviii
organisateur	veranstalter
papa	papa
florent	florent
archidiocèse	erzbistum
ordinateurs	computer
tables	tische
bassiste	bassist
jessica	jessica
gang	gang
servit	diente
martial	martial
bouton	schaltfläche
toucher	berührung
now	now
combattant	kämpfer
tropicale	tropischen
fossiles	fossilen
citadelle	zitadelle
plastique	kunststoff
exister	existieren
décider	entscheiden
menaces	bedrohungen
restée	geblieben
ventre	bauch
vicaire	vikar
plages	strände
barrages	dämme
mayence	mainz
brasserie	brauerei
prestige	prestige
châtillon	châtillon
missionnaire	missionar
rico	rico
protestant	protestant
spirituel	spirituelle
spirituel	geistig
priorité	priorität
rivalité	rivalität
valentin	valentin
problématique	problemstellung
précédé	vorausgegangen
danseuse	tänzerin
conforme	konform
earth	earth
violent	gewalttätig
démon	dämon
arcades	arkaden
madonna	madonna
sourire	lächeln
carrés	quadrate
sommeil	schlaf
digne	würdig
chirurgien	chirurg
défi	herausforderung
rite	ritus
consulat	konsulat
schmidt	schmidt
indigènes	eingeborenen
magnifique	wunderschön
classic	classic
hôpitaux	krankenhäuser
divinité	gottheit
ukrainien	ukrainisch
amanda	amanda
afro	afro
démontrer	demonstrieren
intellectuels	intellektuelle
entente	absprache
stevens	stevens
trilogie	trilogie
précieux	wertvoll
danube	donau
centenaire	hundertjährigen
donjon	kerker
jul	jul
affluence	andrang
caps	caps
légal	gesetzliche
légal	legal
incapable	unfähig
prévenir	vorbeugen
batman	batman
tibétain	tibetischen
carmen	carmen
jungle	dschungel
condamnation	verurteilung
légitime	legitim
let	let
biodiversité	biodiversität
lys	lys
cou	hals
accidents	unfälle
blois	blois
kazakhstan	kasachstan
spectre	spektrum
transcription	transkription
violoniste	geiger
achille	achilles
édit	edikt
sandra	sandra
una	una
hésite	zögert
élémentaire	elementare
recrutement	einstellung
rohan	rohan
terminal	terminal
explorer	erforschen
partition	partition
couples	paare
ana	ana
conservateurs	konservierungsmittel
conservateurs	konservativen
rappel	rückruf
incarne	verkörpert
neuchâtel	neuenburg
orchestra	orchestra
cameron	cameron
miracle	wunder
amédée	amédée
gène	gen
formés	ausgebildet
cfa	cfa
anarchiste	anarchist
indo	indo
graphiques	grafiken
charlemagne	charlemagne
monique	monique
créature	kreatur
accusations	anschuldigungen
accusations	anklagen
apporté	mitgebracht
négatif	negativ
juger	beurteilen
opérateurs	operatoren
use	use
martínez	martínez
albanie	albanien
thé	tee
armor	armor
unit	unit
connexion	verbindung
opinions	meinungen
distribué	verteilt
tranche	tranche
wikipédiens	wikipedianer
sul	sul
dumas	dumas
coque	rumpf
cloud	cloud
confié	anvertraut
boutique	boutique
knight	knight
colloque	kolloquium
suspendu	ausgesetzt
felix	felix
under	under
mare	mare
exigences	anforderungen
homonyme	gleichnamigen
castro	castro
inventé	erfunden
sidney	sidney
ténor	tenor
aveugle	blind
espionnage	spionage
segment	segment
tabac	tabak
palace	palace
side	side
monarque	monarch
réunions	sitzungen
nbc	nbc
butler	butler
tissus	gewebe
suffisante	ausreichend
spencer	spencer
