der	le
verschwinden	disparition
magdalena	magdalena
spenden	dons
earth	earth
boys	boys
mdr	mdr
monarchie	monarchie
bestätigen	confirmer
scharf	épicé
frisch	frais
kelly	kelly
alabama	alabama
dokument	document
loire	loire
audio	audio
schicht	couche
justiz	justice
alberto	alberto
mittelmeer	méditerranée
base	base
faktor	facteur
ermordung	assassinat
connecticut	connecticut
persönlichkeit	personnalité
kaliningrad	kaliningrad
guido	guido
leutnant	lieutenant
xvi	xvi
abbau	démontage
abbau	dégradation
abbau	déplacement
vietnam	vietnam
strategie	stratégie
uruguay	uruguay
einheimischen	autochtones
gruyter	gruyter
liechtenstein	liechtenstein
holocaust	holocauste
siegel	sceau
hamm	hamm
auschwitz	auschwitz
zeitgenössische	contemporain
emma	emma
ernsthaft	sérieusement
krankheiten	maladies
bukarest	bucarest
mans	mans
denkmäler	monuments
maine	maine
entlassung	licenciement
kongo	congo
stämme	tribus
siebten	septième
grob	grossièrement
dialekt	dialecte
philologie	philologie
hofmann	hofmann
grimm	grimm
merkmal	caractéristique
anr	anr
orthodoxen	orthodoxe
orthodoxen	orthodoxes
epoche	époque
rechnung	facture
browser	navigateur
verwiesen	référencé
konsul	consul
stab	barre
draft	draft
rad	roue
götter	dieux
vfb	vfb
lass	laisse
harz	résine
lars	lars
lucas	lucas
schiedsrichter	arbitre
dünn	maigre
dünn	mince
bestimmungen	dispositions
mauern	murs
berechnet	calculé
verlieren	perdre
gefangenschaft	captivité
henning	henning
comics	comics
moon	moon
teufel	diable
leinwand	toile
rugby	rugby
verarbeitet	ouvré
verarbeitet	transformé
riga	riga
kameramann	caméraman
madonna	madonna
roberto	roberto
vorfahren	ancêtres
ressourcen	ressources
laura	laura
zeichnen	dessiner
marianne	marianne
mathias	mathias
rumpf	coque
lyrik	lyrique
belgrad	belgrade
maryland	maryland
abhängigkeit	dépendance
ankunft	arrivée
gerichte	tribunaux
mörder	tueur
mörder	assassin
sofia	sofia
abu	abu
africa	africa
glasgow	glasgow
stürmer	attaquant
heller	heller
emanuel	emanuel
kohle	charbon
graham	graham
caroline	caroline
marokko	maroc
nordischen	nordiques
wrestling	wrestling
ryan	ryan
manga	manga
demo	démo
renault	renault
turner	turner
renoviert	rénové
suhrkamp	suhrkamp
nett	sympa
kreuzung	carrefour
gilbert	gilbert
verschwunden	disparu
ausgang	sortie
estland	estonie
startet	démarre
clara	clara
nad	nad
forest	forest
meißen	meissen
trennen	séparer
sogn	sogn
stralsund	stralsund
spezialisiert	spécialisé
transportiert	transporté
kennedy	kennedy
karin	karin
händler	revendeurs
mönchengladbach	mönchengladbach
durchschnitt	moyenne
singen	chanter
camp	camp
minden	minden
campbell	campbell
mind	mind
beine	jambes
techniken	techniques
asteroiden	astéroïdes
franco	franco
betrachtung	visionnement
überprüfung	vérification
böden	sols
option	option
ägyptischen	égyptien
lukas	lukas
morgan	morgan
ständigen	permanent
porsche	porsche
flecken	taches
japanisch	japonais
sat	sat
fliehen	fuir
fraglich	discutable
steven	steven
parker	parker
empfangen	reçus
empfangen	recevoir
diff	diff
talent	talent
fire	fire
türkisch	turc
nummern	numéros
passagiere	passagers
wusste	savait
theologische	théologique
hanns	hanns
thompson	thompson
konstantinopel	constantinople
henriette	henriette
dichtung	joint
theoretisch	théoriquement
robinson	robinson
decken	couvertures
decken	plafonds
hop	hop
legend	legend
wünsche	souhaits
dennis	dennis
nachbarn	voisins
ernährung	nutrition
ernährung	alimentation
bologna	bologne
vergleichen	comparer
björn	björn
kolumbien	colombie
dublin	dublin
gabriele	gabriele
planck	planck
fantasy	fantasy
springen	saut
aktivität	activité
luigi	luigi
genügt	suffit
gedruckt	imprimé
abteilungen	divisions
abteilungen	départements
störungen	désordres
ken	ken
halbe	demi
louisiana	louisiane
erläutert	expliqué
nachweisbar	indétectable
taiwan	taïwan
sturz	chute
aufzeichnungen	enregistrements
amazon	amazon
teilgenommen	participé
shakespeare	shakespeare
löscht	efface
beantwortet	répondu
labor	laboratoire
samstag	samedi
lehmann	lehmann
classic	classic
med	med
berühmt	célèbre
geehrt	honoré
jonas	jonas
umzug	déménagement
erhöhung	poussée
wüste	désert
adolph	adolph
polizisten	policiers
mhz	mhz
uci	uci
carter	carter
princeton	princeton
latein	latin
atlanta	atlanta
hip	hip
antwerpen	anvers
kaiserslautern	kaiserslautern
invasion	invasion
muhammad	muhammad
northern	northern
julian	julian
nil	nil
selbständige	indépendants
alternativen	alternatives
sant	sant
altenburg	altenburg
abc	abc
schaffung	création
bestritten	contesté
kiew	kiev
hard	hard
faust	poing
vita	vita
unverändert	inchangé
evans	evans
holding	holding
apple	apple
schwanz	queue
fisch	poisson
thron	trône
rapper	rappeur
ozean	océan
konservatorium	conservatoire
redundanz	redondance
senior	senior
more	more
cooper	cooper
rechner	calculatrice
rechner	calculateur
ulmer	ulmer
schubert	schubert
brigitte	brigitte
fränkischen	franconie
barry	barry
neuauflage	réédition
patent	brevet
knochen	os
ack	ack
veb	veb
posen	poznań
rechtlich	juridiquement
wenzel	wenzel
pionier	pionnier
metz	metz
harold	harold
tests	tests
ausgehen	sortir
lebenslauf	cv
alkohol	alcool
gene	gene
gene	gènes
trasse	sillon
silva	silva
bemerkenswert	remarquable
produzieren	produire
study	study
ehre	honneur
vorwort	préface
vergrößert	agrandi
tropischen	tropicale
miami	miami
shanghai	shanghai
vertretung	représentation
protokoll	protocole
athleten	athlètes
lahn	lahn
baker	baker
wendet	applique
copa	copa
udo	udo
natural	natural
prinzipien	principes
dienstleistungen	services
hansen	hansen
standorte	lieux
standorte	sites
philologe	philologue
erwachsene	adultes
erfunden	inventé
philosophen	philosophes
dicke	épaisseur
han	han
vielfalt	diversité
wettbewerbe	concours
rowohlt	rowohlt
murray	murray
archäologe	archéologue
austin	austin
zelle	cellule
wälder	forêts
schließung	fermeture
indian	indian
echo	echo
kunsthalle	kunsthalle
rüdiger	rüdiger
geschmack	goût
porto	porto
konzentration	concentration
interviews	interviews
wiedervereinigung	retrouvailles
kabel	câbles
have	have
berner	bernois
keramik	céramique
bismarck	bismarck
monika	monika
flensburg	flensburg
pakistan	pakistan
grant	grant
angemeldet	connecté
brasilianischen	brésilienne
löwe	lion
gerechtfertigt	justifié
pädagogik	pédagogie
melodie	mélodie
beratung	conseil
african	african
boeing	boeing
beschäftigung	emploi
externe	externe
orientierung	orientation
mängel	défauts
challenge	challenge
elektronischen	électronique
salvador	salvador
saarland	sarre
dakota	dakota
rache	vengeance
dutzend	douzaines
dutzend	douzaine
egon	egon
utrecht	utrecht
kategorisierung	catégorisation
tiger	tigre
finanziell	financièrement
beamter	fonctionnaire
tiroler	tyrolien
allgemeines	généralités
lichtenberg	lichtenberg
wang	wang
liverpool	liverpool
ringer	lutteur
behauptungen	allégations
behauptungen	affirmations
roll	roll
broadway	broadway
jason	jason
alaska	alaska
aufsteiger	déménageurs
soul	soul
matthew	matthew
plant	plant
floh	puce
helene	hélène
relief	relief
vogt	vogt
angela	angela
syn	syn
ruprecht	ruprecht
religionen	religions
freigegeben	libéré
head	head
leonard	leonard
disney	disney
ruinen	ruines
offenbach	offenbach
sky	sky
köhler	köhler
vision	vision
jorge	jorge
kilogramm	kilogrammes
kilogramm	kilogramme
messung	mesure
bassist	bassiste
schwert	épée
elsass	alsace
schlagen	battre
schlagen	frapper
phoenix	phoenix
italia	italia
eisenach	eisenach
gewerkschaft	syndicat
touristen	touristes
oregon	oregon
christina	christina
rks	rks
normen	normes
erkrankungen	affections
agentur	agence
iwan	ivan
schreiber	schreiber
blüte	floraison
punk	punk
dell	dell
digitalen	numérique
joan	joan
bremerhaven	bremerhaven
tabellen	tableaux
überprüft	vérifié
wls	wls
wahlperiode	législature
einladung	invitation
slowenien	slovénie
gesungen	chanté
jerry	jerry
türken	turcs
hawaii	hawaii
jules	jules
akademische	académique
mine	mine
überleben	survie
gelassen	laissé
stimmung	humeur
plante	prévoyait
anpassung	personnalisation
anpassung	adaptation
flach	plat
entwickler	développeur
entwickler	développeurs
schwedisch	suédois
kostenlos	gratuit
under	under
language	language
freude	joie
prototyp	prototype
rotterdam	rotterdam
effekte	effets
gletscher	glacier
offs	offs
erzähler	narrateur
operationen	opérations
homburg	homburg
montana	montana
wayne	wayne
dessau	dessau
erobert	conquis
klöster	monastères
anfänge	débuts
kaiserin	impératrice
meier	meier
morris	morris
größen	tailles
dnb	dnb
petra	petra
geometrie	géométrie
bosnien	bosnie
now	now
zerstörer	destructeur
wright	wright
movie	movie
independent	independent
alpha	alpha
studiert	étudié
berkeley	berkeley
illustrationen	illustrations
richtungen	directions
schnee	neige
gerald	gerald
realschule	realschule
angel	angel
funk	funk
herrmann	herrmann
troll	troll
mythos	mythe
schumacher	schumacher
tenor	ténor
sin	sin
begangen	commis
ansätze	approches
designer	designer
wirft	jette
wirft	soulève
möge	puisse
fühlt	ressent
türen	portes
valentin	valentin
begegnungen	rencontres
brandt	brandt
oklahoma	oklahoma
gerettet	sauvé
ignoriert	ignoré
überwachung	surveillance
chinesisch	chinois
gerechtigkeit	justice
bett	lit
vorarlberg	vorarlberg
dynamo	dynamo
drehen	tourner
angeben	préciser
angeben	spécifier
venezuela	venezuela
astronom	astronome
nina	nina
theoretische	théorique
ingrid	ingrid
industriellen	industriel
krüger	krüger
umwandlung	conversion
rosenberg	rosenberg
chaos	chaos
xaver	xaver
regelmäßigen	régulier
zoo	zoo
bezahlt	payé
cornelius	cornelius
bobby	bobby
interne	internes
interne	interne
imo	omi
käfer	coccinelle
gem	gem
weihnachten	noël
dekan	doyen
häftlinge	détenus
russen	russes
basilika	basilique
zyklus	cycle
konzepte	concepts
ndr	ndr
heiliger	saint
tendenz	tendance
garcía	garcía
orleans	orleans
österreicher	autrichiens
eddie	eddie
vorbereitet	préparé
landschaften	paysages
years	years
baltimore	baltimore
kannte	connaissait
fotografen	photographes
mund	bouche
inkl	inc
berthold	berthold
löst	résout
xiv	xiv
reformen	réformes
sklaven	esclaves
weinbau	viticulture
griechen	grecs
fair	fair
scheitern	échec
spitzen	bouts
spitzen	extrémités
mohammed	mohammed
arkansas	arkansas
indonesien	indonésie
reagieren	réagir
bedingung	condition
paolo	paolo
ethik	éthique
britisch	britannique
entdecken	découvrir
gestapo	gestapo
badischen	badoise
marshall	marshall
handwerk	artisanat
most	most
gütersloh	gütersloh
houston	houston
adrian	adrian
reichlich	abondant
kaffee	café
gedenkstätte	mémorial
agent	agent
zagreb	zagreb
fokus	focus
verbesserungen	améliorations
schien	semblait
grey	grey
krakau	cracovie
gesendet	envoyé
zypern	chypre
jeff	jeff
geezer	geezer
zwang	contrainte
germania	germania
komplexe	complexes
our	our
truppe	troupe
hut	chapeau
milch	lait
kommerziellen	commercial
jon	jon
schmitt	schmitt
hills	hills
baptist	baptist
beeinflussen	influencer
bug	bug
india	india
meilen	miles
wta	wta
freizeit	loisirs
gera	gera
motorrad	moto
lutherische	luthérienne
peer	peer
wellen	vagues
maßstab	échelle
philosophische	philosophique
burgund	bourgogne
partnerschaft	partenariat
erfordert	nécessite
pauli	pauli
brot	pain
xiii	xiii
marseille	marseille
hugh	hugh
chen	chen
leon	leon
duden	duden
beethoven	beethoven
mönche	moines
krefeld	krefeld
tommy	tommy
ungarisch	hongrois
rgb	rvb
rgb	rgb
görlitz	görlitz
glatt	lisse
beauftragte	déléguée
erwerb	acquisition
run	run
anime	anime
olaf	olaf
bewusstsein	conscience
berufliche	professionnelle
apostolischen	apostolique
porträts	portraits
avenue	avenue
let	let
kunstverein	kunstverein
small	small
schumann	schumann
remix	remix
trikot	maillot
lorenzo	lorenzo
gescheitert	échec
renate	renate
masters	masters
tschechisch	tchèque
angebote	offres
zugewiesen	attribué
zugewiesen	assigné
reifen	pneus
wolfram	tungstène
roberts	roberts
hirsch	cerf
augsburger	augsburger
speicher	mémoire
nancy	nancy
verwechseln	confondre
hunter	hunter
get	get
krieger	guerrier
umstände	circonstances
systematisch	systématiquement
eichstätt	eichstätt
eastern	eastern
selbstverlag	selbstverlag
delta	delta
armin	armin
brockhaus	brockhaus
ivan	ivan
erwünscht	souhaitée
konzentriert	concentré
edwin	edwin
kent	kent
matthäus	matthieu
bond	bond
aluminium	aluminium
dimension	dimension
schönheit	beauté
sauerstoff	oxygène
mitchell	mitchell
marion	marion
rasse	race
ingolstadt	ingolstadt
geäußert	exprimé
zähne	dents
cottbus	cottbus
gültig	valide
gültig	valable
sri	sri
systematische	systématique
denkbar	concevable
denkbar	imaginable
satelliten	satellites
umgehen	contourner
symbole	symboles
symbole	icônes
germanischen	germanique
theo	theo
medaillen	médailles
abbruch	démolition
spannungen	tensions
bricht	casse
sony	sony
sechste	sixième
empfohlen	recommandé
bundesautobahn	bundesautobahn
five	five
frühling	printemps
romanischen	romane
raf	raf
akzeptieren	accepter
gräber	tombes
ansbach	ansbach
renovierung	rénovation
collins	collins
übersehen	négligé
terry	terry
gleichung	équation
sockel	socle
schulze	schulze
traditionen	traditions
dehio	dehio
behauptete	revendiquée
flag	flag
hunde	chiens
krebs	cancer
energy	energy
unit	unit
fett	graisse
anzeigen	afficher
anzeigen	annonces
alain	alain
blättern	défilement
angetrieben	actionné
wiederholen	répéter
astronomie	astronomie
decke	plafond
achim	achim
wohnt	habite
schritte	étapes
dominiert	dominé
geschafft	réussi
michail	mikhaïl
linden	linden
ulrike	ulrike
nicholas	nicholas
palästina	palestine
wilfried	wilfried
eingeleitet	initié
beobachter	observateur
beobachter	observateurs
bilanz	bilan
medical	medical
fürth	fürth
indirekt	indirect
indirekt	indirectement
mtv	mtv
alias	alias
bestätigung	confirmation
mühlen	moulins
wiederherstellen	restaurer
massaker	massacre
suffix	suffixe
rudolph	rudolph
woman	woman
matrix	matrice
ähnlichkeit	similitude
ähnlichkeit	ressemblance
empfehlung	recommandation
bedrohung	menace
vollendet	accomplie
landung	atterrissage
vornamen	prénoms
dallas	dallas
offensive	offensive
fein	finement
pole	pole
herman	herman
besiegt	vaincu
krause	krause
entwürfe	brouillons
schwimmen	natation
early	early
abkürzungen	abréviations
protest	protestation
messina	messine
kosovo	kosovo
delegation	délégation
färbung	coloration
water	water
pest	peste
genehmigt	approuvé
universum	univers
biathlon	biathlon
wärme	chaleur
ordentlichen	ordinaire
korrigieren	corriger
moor	moor
erfüllung	accomplissement
schach	échecs
ward	ward
breitengrad	latitude
commonwealth	commonwealth
hohenzollern	hohenzollern
malta	malte
sitzung	réunion
bolivien	bolivie
nrhp	nrhp
wood	wood
seoul	séoul
verpflichtung	engagement
leiche	cadavre
warner	warner
verträge	contrats
abschied	adieux
perfekt	parfait
kommunisten	communistes
ngc	ngc
definieren	définir
augustin	augustin
gotischen	gothique
organ	organe
konto	compte
inhaftiert	emprisonné
busse	autobus
mineral	minéral
work	work
holger	holger
dream	dream
aktien	actions
grammatik	grammaire
lustig	drôle
landshut	landshut
silver	silver
upper	upper
filter	filtres
hölle	enfer
beat	beat
meta	meta
geh	va
mönch	moine
befreien	libérer
umgestaltet	transformant
ausgeschieden	éliminés
popularität	popularité
oberhausen	oberhausen
laurent	laurent
wolfenbüttel	wolfenbüttel
konsequenzen	conséquences
rechtsprechung	jurisprudence
bakterien	bactéries
martha	martha
pan	pan
übersetzen	traduire
erhard	erhard
hunderte	centaines
börse	bourse
kings	kings
taunus	taunus
genua	gênes
hours	hours
cook	cook
juristen	juristes
rum	rhum
sekunde	seconde
warren	warren
erzählen	raconter
nigeria	nigeria
its	its
orient	orient
gespeichert	stocké
christiane	christiane
paare	couples
blood	blood
set	set
protagonisten	protagonistes
störung	désordre
administratoren	administrateurs
gelernt	appris
gefüllt	rempli
auslegung	interprétation
haushalt	ménage
haushalt	budget
marschall	maréchal
installation	installation
kaspar	kaspar
ecken	coins
speichern	enregistrer
schuss	tir
freundlich	sympathique
freundlich	amical
zylinder	cylindre
vorschlagen	suggérer
portugiesisch	portugais
wähler	électeurs
wähler	électeur
reduzieren	réduire
fotografien	photographies
days	days
nachteil	inconvénient
gramm	gramme
gramm	grammes
abgekürzt	abrégé
begleitung	accompagnement
wiederholte	répété
chancen	opportunités
gastgeber	hôte
kämpfer	combattant
charlottenburg	charlottenburg
blumen	fleurs
wünschen	souhaiter
venus	venus
venus	vénus
schema	schéma
alexandra	alexandra
split	split
unruhen	émeutes
rosen	roses
keith	keith
beigetragen	contribué
fis	fis
renommierten	prestigieux
tante	tatie
einstellungen	paramètres
einstellungen	préférences
meisterin	championne
nazi	nazi
pfarrhaus	presbytère
hudson	hudson
fdl	fdl
diktatur	dictature
nase	nez
ebert	ebert
finanzen	finances
jungfrau	vierge
fresken	fresques
brooklyn	brooklyn
tel	tél
herder	herder
eiförmig	ovoïde
heine	heine
teilchen	particules
kong	kong
achtung	attention
buddhismus	bouddhisme
zufall	hasard
zufall	coïncidence
jay	jay
massive	massive
salz	sel
monaco	monaco
guillaume	guillaume
export	export
export	exportation
kollege	collègue
naval	naval
helen	helen
bretagne	bretagne
railroad	railroad
normandie	normandie
larry	larry
ghana	ghana
yale	yale
administrativ	administrativement
there	there
regierungen	gouvernements
besserung	rétablissement
deep	deep
manhattan	manhattan
friedrichs	friedrichs
urlaub	vacances
neffe	neveu
plural	pluriel
baptiste	baptiste
julie	julie
oldid	oldid
inspiriert	inspiré
rafael	rafael
regina	regina
feind	ennemi
niedergang	déclin
schauspielhaus	schauspielhaus
fortschritt	progrès
teich	étang
untersuchte	examiné
track	track
dachau	dachau
sms	sms
anatomie	anatomie
strauss	strauss
raketen	missiles
steuer	impôt
bull	bull
irene	irene
irene	irène
aussterben	extinction
aussprache	prononciation
perry	perry
aufgeben	abandonner
synthese	synthèse
vermieden	évité
montag	lundi
kurve	courbe
rettung	sauvetage
fotografiert	photographié
ems	ems
empfänger	destinataire
iucn	uicn
edith	edith
gewerkschaften	syndicats
beton	béton
santo	santo
playoffs	playoffs
jünger	disciples
glücklich	heureux
demokraten	démocrates
rakete	fusée
rakete	missile
ausgleich	compensation
wallace	wallace
kapital	capitaux
kapital	capital
unverständlich	incompréhensible
abschaffung	abolition
helena	helena
increment	increment
moses	moïse
champion	champion
singapur	singapour
pablo	pablo
mülheim	mülheim
toulouse	toulouse
muslime	musulmans
heyne	heyne
tatsächlichen	effectif
miles	miles
christlich	chrétien
ellen	ellen
zitate	citations
arno	arno
namensgeber	éponyme
bemerkungen	remarques
cleveland	cleveland
santos	santos
gefangene	prisonniers
geiger	violoniste
freud	freud
minor	minor
god	god
situationen	situations
piper	piper
algerien	algérie
kanzler	chancelier
kanzler	greffier
provence	provence
jülich	juliers
kanonen	canons
verwaltungsgemeinschaft	verwaltungsgemeinschaft
streitigkeiten	litiges
kenneth	kenneth
asia	asia
passagen	passages
franziska	franziska
newton	newton
aufführungen	spectacles
katastrophe	catastrophe
mdb	mdb
formulierungen	formulations
charaktere	personnages
summer	summer
lords	lords
neutralität	neutralité
after	after
ignaz	ignaz
true	true
quartett	quatuor
flandern	flandre
viola	viola
bristol	bristol
waldeck	waldeck
namibia	namibie
political	political
verteilen	distribuer
univ	univ
salomon	salomon
litt	litt
erika	erika
konvention	convention
haase	haase
atlantik	atlantique
zusammenbruch	effondrement
gewählte	élus
marina	marina
sauber	propre
when	when
flöte	flûte
düren	düren
forstwirtschaft	sylviculture
ideologie	idéologie
herzogin	duchesse
metropolitan	metropolitan
harrison	harrison
diana	diana
nazis	nazis
ron	ron
landwirt	agriculteur
heilig	sacré
malaysia	malaisie
augustus	augustus
strahlung	rayonnement
vera	vera
substanzen	substances
internen	internes
internen	interne
alexandria	alexandrie
ergänzungen	compléments
ergänzungen	suppléments
psychiatrie	psychiatrie
ohren	oreilles
labour	labour
labour	travailliste
labour	travaillistes
ruft	appelle
bösen	méchants
trennt	sépare
bush	bush
variiert	varie
vorherige	précédente
vorherige	précédent
bordeaux	bordeaux
erscheinungsbild	apparence
elite	élite
ostfriesland	ostfriesland
elias	elias
astronomen	astronomes
vertraut	familier
abwesenheit	absence
bibliographie	bibliographie
rallye	rallye
willkommen	bienvenue
kraus	kraus
bezahlen	payer
einstein	einstein
motivation	motivation
faz	faz
ungeeignet	inapte
apostel	apôtre
amphoe	amphoe
mrs	mrs
islamische	islamique
spalten	colonnes
wolfsburg	wolfsburg
singer	singer
widmen	consacrer
widmen	dédier
aufsicht	supervision
middle	middle
ancient	ancient
feder	plume
ausgegeben	dépensé
eurovision	eurovision
prima	prima
winkler	winkler
match	match
repräsentiert	représente
erneuerung	renouvellement
firefox	firefox
colin	colin
phasen	phases
kombiniert	combiné
kombiniert	combinés
brecht	brecht
olga	olga
reichsbahn	reichsbahn
het	het
gezeichnet	dessiné
gefühle	sentiments
atlantic	atlantic
steffen	steffen
anhang	annexe
schulden	dette
barth	barth
naturforscher	naturaliste
nebel	brouillard
carmen	carmen
ffffff	ffffff
codex	codex
turniere	tournois
endgültigen	définitif
endgültigen	définitifs
león	león
caesar	caesar
caesar	césar
hedwig	edwige
susan	susan
exemplar	exemplaire
veit	veit
analysen	analyses
treppe	escalier
winterthur	winterthur
oberpfalz	oberpfalz
holmes	holmes
dramatiker	dramaturge
ware	marchandise
antisemitismus	antisémitisme
kantone	cantons
heck	heck
stolz	fier
stolz	fierté
leverkusen	leverkusen
göttin	déesse
electric	electric
stärken	atouts
schweigen	silence
elektronik	electronique
revision	révision
helga	helga
instanz	instance
geologe	géologue
witz	blague
munition	munitions
aschaffenburg	aschaffenburg
vegas	vegas
neil	neil
kramer	kramer
utah	utah
trek	trek
brett	planche
unterhaltung	divertissement
allan	allan
gutenberg	gutenberg
kosmos	cosmos
kontinent	continent
castro	castro
götz	götz
happy	happy
föderation	fédération
reg	reg
haas	haas
symptome	symptômes
hopkins	hopkins
unwahrscheinlich	improbable
jahn	jahn
nfl	nfl
rohr	tube
danny	danny
maier	maier
dean	dean
ringe	bagues
ringe	anneaux
gross	gross
albanien	albanie
angreifer	attaquant
valencia	valence
unterzeichnet	signé
toni	toni
emden	emden
schlachten	batailles
marmor	marbre
kant	kant
katze	chat
brd	rfa
judith	judith
erweiterungen	extensions
adalbert	adalbert
bedeutungen	significations
teatro	teatro
lok	lok
justus	justus
monster	monstre
call	call
landau	landau
statistiken	statistiques
works	works
pos	pos
sorten	variétés
liberal	libéral
march	march
paula	paula
alb	alb
cape	cape
hampshire	hampshire
landen	atterrir
stanford	stanford
historia	historia
senioren	seniors
imdb	imdb
fußballer	footballeur
rudi	rudi
nah	proche
ludwigshafen	ludwigshafen
limited	limited
höhlen	grottes
äthiopien	ethiopie
harten	dures
birmingham	birmingham
kopieren	copier
waldemar	basile
heidelberger	heidelberger
hob	ramassé
gestanden	avoué
alba	alba
verstärkte	renforcée
zucker	sucre
ida	ida
winfried	winfried
anregung	suggestion
byzantinischen	byzantine
singt	chante
gisela	gisela
short	short
sigmund	sigmund
gelebt	vécu
haare	cheveux
battle	battle
nicole	nicole
transkription	transcription
lucius	lucius
abzug	déduction
verziert	décoré
circle	circle
präsentation	présentation
zwickau	zwickau
getreide	céréales
sigismund	sigismond
fpö	fpö
sozialismus	socialisme
temple	temple
doris	doris
fehlte	manquait
madison	madison
magic	magic
respekt	respect
zentren	centres
tambon	tambon
büros	bureaux
deportiert	déportés
rundschau	rundschau
angekommen	arrivé
erläuterungen	explications
only	only
audi	audi
gesetzliche	légal
gesetzliche	légale
tipp	astuce
tödlich	mortel
freiburger	fribourgeoise
geworfen	jeté
zufrieden	satisfait
widerspricht	contredit
veraltet	obsolète
bozen	bolzano
butler	butler
knight	knight
ethnien	ethnies
vegetation	végétation
gehirn	cerveau
born	born
säule	pilier
empfehlen	recommander
armstrong	armstrong
into	into
dauern	durer
dauern	durent
isaac	isaac
ludwigsburg	ludwigsburg
humor	humour
meiningen	meiningen
montiert	monté
emmy	emmy
hannes	hannes
messer	couteau
brt	tjb
friederike	friederike
legion	légion
ergo	ergo
aristoteles	aristote
gladbach	gladbach
padding	padding
expansion	expansion
sakristei	sacristie
side	side
schlag	frappe
industrialisierung	industrialisation
igor	igor
vernunft	raison
freising	freising
zensur	censure
nachteile	inconvénients
dreieck	triangle
gepflegt	soigné
intelligenz	intelligence
pol	pol
entkommen	échapper
senkrecht	verticalement
senkrecht	vertical
mediawiki	mediawiki
gekürzt	écourtée
experte	expert
verantwortlichen	responsables
aufgerufen	appelé
pmid	pmid
augusta	augusta
warte	attends
skandal	scandale
bauch	ventre
bauch	abdomen
fördert	favorise
logos	logos
blockiert	bloqué
bankier	banquier
low	low
seattle	seattle
grundsatz	principe
fünfter	cinquième
apsis	abside
fände	trouverait
bio	bio
begeistert	enthousiaste
theologen	théologiens
watson	watson
their	their
iris	iris
burgenland	burgenland
quedlinburg	quedlinburg
wiese	prairie
seltsam	étrange
labels	libellés
überzeugung	persuasion
überzeugung	conviction
gasse	ruelle
ältester	aîné
bergisch	bergisch
nannten	appelaient
treu	fidèle
nachdenken	réfléchir
kunststoff	plastique
angebliche	prétendue
folk	folk
erwartungen	attentes
werkzeug	outil
ibm	ibm
sophia	sophia
unvollständig	incomplet
georgien	géorgie
zerstören	détruire
illustrator	illustrateur
anschlag	attentat
heimlich	secrètement
verletzte	blessés
tus	tus
tempo	tempo
reinhardt	reinhardt
square	square
getestet	testé
cousin	cousin
ungültig	invalide
queensland	queensland
moser	moser
dietz	dietz
jeanne	jeanne
herzegowina	herzégovine
hinzufügen	ajouter
trade	trade
statuen	statues
verehrt	vénère
armut	pauvreté
libanon	liban
fine	fine
unbrauchbar	inutilisable
protein	protéine
organe	organes
organisieren	organiser
dänisch	danois
betrag	montant
mathilde	mathilde
gran	gran
freiberg	freiberg
blind	aveugle
blind	blind
publishers	publishers
verfehlt	raté
mohr	mohr
böhlau	böhlau
beamte	fonctionnaires
gonzález	gonzález
leidenschaft	passion
glockenturm	clocher
vereinbarung	accord
thriller	thriller
regierte	gouvernait
leiten	diriger
zusammenstellung	compilation
eifel	eifel
amadeus	amadeus
con	con
marien	marien
verhältnismäßig	proportionné
tell	tell
opel	opel
linda	linda
rita	rita
angelo	angelo
martina	martina
aue	aue
brechen	briser
isabella	isabella
arnsberg	arnsberg
künstliche	artificiel
künstliche	artificielle
motorsport	motorsport
gesetzlich	légale
trust	trust
müll	ordures
honda	honda
palermo	palerme
handwerker	artisans
verwandtschaft	parenté
beute	butin
kompromiss	compromis
elektrisch	électrique
münze	pièce
veranstalter	organisateur
rechtschreibung	orthographe
panorama	panorama
professionelle	professionnels
professionelle	professionnel
moral	moralité
tallinn	tallinn
never	never
judentum	judaïsme
romeo	roméo
kasachstan	kazakhstan
verkörperte	incarnait
nils	nils
scottish	scottish
überlebt	survécu
geistigen	intellectuelle
märtyrer	martyrs
märtyrer	martyr
explosion	explosion
larven	larves
rangers	rangers
drogen	drogues
arabisch	arabe
bautzen	bautzen
terror	terreur
bewahren	préserver
niederrhein	niederrhein
rhône	rhône
soziologe	sociologue
tibet	tibet
sparen	économiser
homo	homo
territorien	territoires
nacheinander	successivement
ewald	ewald
untersuchen	enquêter
jefferson	jefferson
algebra	algèbre
pascal	pascal
homosexualität	homosexualité
formale	formelle
zeuge	témoin
hope	hope
bowl	bowl
edwards	edwards
oberseite	dessus
jenny	jenny
sevilla	séville
birgit	birgit
korrektur	correction
holt	holt
telekom	telekom
wöchentlich	hebdomadaire
ideal	idéal
tff	tff
spencer	spencer
hardy	hardy
unsicher	incertain
äbtissin	abbesse
angestellte	employés
ram	ram
kleve	clèves
olivier	olivier
schmuck	bijoux
innovation	innovation
stößt	heurte
werder	werder
öffnet	ouvre
craig	craig
zivilen	civil
dumont	dumont
schräg	oblique
persischen	persique
altona	altona
mähren	moravie
häfen	ports
alessandro	alessandro
mix	mix
gfdl	gfdl
use	use
aka	aka
umfrage	sondage
else	else
werkzeuge	outils
jennifer	jennifer
schilling	shilling
allgäu	allgäu
sandra	sandra
cannes	cannes
