மற்றும்	and
இடஒதுக்கீடு	reservations
இடஒதுக்கீடு	reservation
ஜியா	jiya
ஜியா	gia
ஜியா	zia
கசப்பான	bitter
மரணமும்	dying
மைல்கல்	milestone
மின்னஞ்சல்கள்	emails
கருத்துக்கணிப்பு	poll
கருத்துக்கணிப்பு	survey
ஜூரோங்	jurong
கானான்	canaan
ஊடு	zigzag
ஊடு	transparent
கொடுங்கள்	give
தடிமனான	thick
கோயங்கா	goenka
லென்ஸ்	lens
எக்ஸ்போ	expo
வாங்குபவர்	buyer
கவுரி	gauri
கோட்சே	godse
ஹூட்	hood
சாகசங்கள்	adventures
கரடு	rough
சுவடு	trace
அங்காரா	ankara
இன்னிங்ஸ்	innings
லட்சக்கணக்கான	millions
ஒலிபெருக்கி	loudspeaker
ஒலிபெருக்கி	speaker
முயன்றால்	unsigned
வருந்திய	regretted
மார்ஷ்	marsh
ஆலைடு	halide
பெட்டகம்	container
செனட்டர்	senator
சூடாக	hot
அருகிவரும்	endangered
வெளியீட்டுக்	publishing
மன்னா	manna
கண்களும்	eyes
இவா	eva
லோகியா	lohia
செயல்படுத்தப்பட்டது	enabled
கைவினை	craft
பெருநகரம்	borough
வனிதா	vanitha
ஓரினச்சேர்க்கை	homosexuality
ஓரினச்சேர்க்கை	gay
மடிக்கணினி	laptop
ஆபிரகாமிய	abrahamic
படிக்காத	unread
சீட்டுகள்	labels
புரோ	pro
ஹமீது	hamid
மேய	graze
பரிமாறும்	serving
குளித்து	showered
குழப்ப	confuse
ஏர்டெல்	airtel
கொசோவோ	kosovo
மில்ஸ்	mills
வெளியிடப்படாத	unpublished
விற்கவும்	sell
பத்தாண்டுகளாக	decades
அவா	ava
இலிங்கம்	lingam
விநாடிகள்	seconds
பொடா	boda
இனவெறி	racist
வருந்துகிறேன்	sorry
மீன்களில்	fishes
தாய்நாடு	homeland
அபாயங்கள்	risks
குவிப்பு	focus
நண்பரே	friend
கில்ஜி	khilji
திகழ்ந்தனர்	upfront
மந்திரங்களை	mantras
டிரக்	truck
அழுது	crying
சூது	gambling
கூந்தலில்	hair
ருசி	delicious
நாளம்	vascular
குறுக்கீடுகள்	interrupts
சாராபாய்	sarabhai
ஹன்சிகா	hansika
ஜீன்ஸ்	jeans
விடைகள்	results
அம்பா	ampa
சாரு	charu
சாகி	saki
ஏமி	amy
டால்பின்	dolphin
தேசியவாதிகள்	nationalists
சலாகுத்தீன்	salahuddin
#நான்	#i
#நான்	#me
அர்த்தங்கள்	meanings
கமில்	kamil
லாருட்	larut
}}}/	}}}/
அசிட்டோன்	acetone
நோர்டிக்	nordic
ரவீந்திரன்	ravindran
சௌ	chow
+/	+/
ரஹீம்	rahim
ரஹீம்	raheem
பர்னாலா	barnala
பசியின்மை	appetite
பியாஸ்	beas
போர்ட்டர்	porter
மூக்கில்	nose
கதகளி	kathakali
காப்பர்	copper
நீந்தி	swim
வலிகள்	pain
வலிகள்	pains
கேக்	cake
நிற்கிறார்	standing
ஹரே	hare
யூதேயா	judea
சுயவிவரம்	profile
ஊகங்கள்	guesses
ஸ்விஸ்	swiss
ஆட்டோகேட்	autocad
எதிர்பாராதவிதமாக	unfortunately
பாங்	pang
பாங்	bong
ஆமிர்	aamir
போர்ச்சுகல்	portugal
புதியவர்கள்	freshers
சாப	dont
மார்லன்	marlon
ரமலான்	ramadan
திருடர்கள்	thieves
கிரெய்க்	craig
தோடா	toda
சிறந்தவை	best
துடிக்கும்	beating
லிஞ்ச்	lynch
உடையை	outfit
ஒழுகும்	dripping
பம்பை	pamba
மல்லையா	mallya
டிரம்மர்	drummer
அர்ஜுனன்	arjunan
சாகசம்	adventure
மண்டையோடு	skulls
அகற்றப்பட்டது	removed
அகற்றப்பட்டது	unsaved
அச்சுகள்	axes
அச்சுகள்	coordinates
பழச்சாறு	juice
சரம்	filtering
சரம்	string
கார்சன்	carson
பகடி	parody
பஜனை	bhajan
அலங்காரத்	ornamental
ஆதார்	aadhaar
பிரண்டன்	brendon
சின்ஹா	sinha
சீப்பு	comb
முடக்கு	deactivate
முடக்கு	disable
முடக்கு	off
முடக்கு	mute
மால்ட்	malt
பொருத்துதல்	fittings
பொருத்துதல்	matching
பித்தப்பை	gallbladder
சலங்கை	sagara
இசுடோன்	histone
அருணாசலக்	arunachala
காளிகா	kalika
ஸ்பைக்	spike
ராஜமுந்திரி	rajahmundry
ஈஸ்வர	ishwar
எசேக்கியேல்	ezekiel
குதிக்கும்	jumping
குதிக்கும்	bounce
சுமித்	sumit
உதடுகள்	lips
குளோரியா	gloria
கனல்	kanal
இயல்புநிலை	default
வீச	frills
பூட்	boot
ரீஸ்	rees
ரீஸ்	reese
ஆய்வறிக்கை	thesis
தடங்கல்	hassle
தடங்கல்	interrupted
அக்கினேனி	akkineni
அபிநயம்	charade
பெய்ரூட்	beirut
குளியலறை	bathroom
உத்தம்	uttam
படைப்பாற்றல்	creativity
மியா	mia
நீல்ஸ்	niles
ஃபெரோஸ்	feroz
பாட்டீல்	patil
பாவா	bhava
விந்தையான	oddly
ஸ்மிருதி	smriti
எடுக்கிறது	takes
நிலவே	chand
உருண்டையான	globular
பரேலி	bareilly
கீறல்	scratch
நன்கொடைகள்	donations
மெத்தை	mattress
லியு	liu
லியு	leu
ரிஸ்	ris
வறுத்த	fried
அழுக்கு	dirty
ஊமை	dumb
ரிஷிகேஷ்	rishikesh
சாய்ந்து	lean
சாய்ந்து	incline
தொண்ணூறு	ninety
செவ்வி	chevy
நமஹ	namah
நமஹ	namaha
பந்த்	pant
பச்சையம்	chlorophyll
ஒதுங்கி	desist
ஊரடங்கு	curfew
இத்தாலியா	italia
பேதை	unwary
பேதை	weed
அதிர்ஷ்டம்	luck
முட்டி	knee
முட்டி	banging
மேலோடு	crust
வகுப்பறை	classroom
படிப்பினை	moral
பணிக்குழு	workgroup
மகலன்	magellan
அழைத்தல்	calling
ரிமோட்	remote
டெங்கு	dengue
ஏசு	jesus
மூடநம்பிக்கை	superstition
ஹக்கீம்	hakeem
லுமும்பா	lumumba
தோவாப்	doab
கிளியோபாட்ரா	cleopatra
சீஸ்	cheese
லூதரனியம்	lutheranism
உள்ளமை	internal
நல்லிணக்க	reconciliation
இசுப்புட்னிக்	sputnik
முடிசூட்டு	coronation
அர்ச்சனா	archana
நிக்கோலா	nicola
பந்துலு	panthulu
வழங்குவோர்	providers
வழங்குவோர்	provider
ஜாபர்	jaffar
சக்ரா	chakra
சபர்மதி	sabarmati
வில்லியம்சன்	williamson
பிரேமதாசா	premadasa
சிட்டகாங்	chittagong
செங்கற்கள்	bricks
கண்புரை	cataract
தியான்	dhyan
மந்தாகினி	mandakini
பிக்சர்	pixar
ஏர்ல்	earl
மார்க்கெட்டிங்	marketing
பொழில்	rainforest
கன்பூசியம்	confucianism
பதிலடி	retaliation
எரிந்த	burnt
சமிந்த	chaminda
ராண்டி	randy
ராண்டி	randi
மொட்டை	silky
சிரோன்மணி	shiromani
வீரமரணம்	martyred
அழுத்தமாக	depressed
ஒஸ்லோ	oslo
தியோ	theo
மயானம்	cemetery
விவாதித்து	discussing
அடங்காத	briones
ஃபிஷர்	fisher
நீர்க்காகம்	cormorant
சோரி	chori
சிக்ரி	sikri
வடித்த	sculptor
ராமலிங்கம்	ramalingam
வெளியேறுதல்	exiting
கவனி	watch
கவனி	notify
கவனி	listen
ஒன்றுமில்லை	nothing
ஒன்றுமில்லை	none
கம்பளை	gampola
சேம்பர்	chamber
கொட்டாரம்	kottaram
உருவாக்குநர்கள்	developers
ஊறுகாய்	pickle
ஊறுகாய்	pickled
கோருகிறது	dragging
மாரா	mara
உள்ளங்கை	palm
கம்யூனிஸ்டுகள்	communists
ஒருமனதாக	unanimously
பேரழிவுகள்	disasters
கவிஞன்	poet
கோமா	coma
விபத்துக்குள்ளானது	okinawa
பரவியிருக்கும்	widespread
கோமாளி	clown
மக்மால்பஃப்	makhmalbaf
சதுர்வேதி	chaturvedi
கிர்கிஸ்தான்	kyrgyzstan
துணையை	mate
கீரி	mongoose
சுருக்கப்பட்ட	shortened
அழுத்தவும்	press
பாதிக்கப்பட்டவர்	victim
தொலைநிலை	remote
கண்ணியம்	dignity
கிடங்குகள்	warehouses
உண்ணிகள்	wart
ஜோதா	jodha
வாளி	bucket
பியா	pia
பியா	biya
கொழுந்து	blaze
ஃபால்	fall
ஓல்கர்	holkar
அடோல்ஃப்	adolphe
கட்டடத்தை	brink
குறிச்சொல்	term
குறிச்சொல்	keyword
இறந்தவரின்	deceased
சந்திரலேகா	chandralekha
துள்ளும்	bouncy
ஜேமி	jamie
அர்ஜுனா	arjuna
சிரி	laugh
மொசில்லா	mozilla
சுகர்	sugars
சுகர்	sugar
வருண	varuna
ஆர்த்தி	aarti
பூத்து	booth
ரெய்க்	reich
கற்றுக்கொண்ட	learnt
கிமி	kimi
துடிப்பான	vibrant
தலைப்பாகை	turban
பீக்	peek
வாழ்க்கைமுறை	lifestyle
ஜாவேத்	javed
மங்கேஷ்கர்	mangeshkar
கோசாம்பி	kosambi
சுவரொட்டிகள்	posters
லாண்டன்	landon
பிசுமில்	bismil
பலாவு	palau
பெசன்ட்	besant
விட்டும்	from
டையர்	dyer
ஆகிறார்	becomes
மாயம்	magic
கிரெடிட்	credit
}%	}%
பியூரின்	purine
சுருக்கமாகவும்	concise
பிரச்சாரங்கள்	campaigns
பத்ரகாளி	bhadrakali
கோயா	goya
பூப்	boop
விரும்புகிறது	wants
ஷெட்டி	shetty
மூதாதையர்கள்	fathers
துரு	rust
ரேணுகா	renuka
லாப்ரடோர்	labrador
வால்கிரி	valkyrie
லத்தீப்	latif
மின்ஸ்க்	minsk
இல்லுமினாட்டி	illuminati
பூம்	boom
பெலருசிய	belarusian
கெர்	kerr
நங்கூரம்	anchor
கனெடிகட்	connecticut
ஜித்தா	jeddah
செறிவூட்டப்பட்ட	enriched
மஸ்கட்	muscat
ஜெசிக்கா	jessica
ஆதாரமற்ற	assumptions
உத்தமன்	utama
கிர்	gir
சென்சார்	molding
பாசாங்கு	pretend
பாசாங்கு	pretending
மிட்டாய்	candy
டாக்சி	taxi
கொண்டாடுகிறது	celebrates
பரிதாபாத்	faridabad
வெளிநாட்டவர்	foreigner
நியூமன்	newman
கடித்து	bite
தாய்மார்கள்	mothers
வரிசைப்படுத்தப்பட்ட	queued
இதமான	crete
கோத்தகிரி	kotagiri
ஏக்கம்	nostalgia
முளை	sprouts
ஆர்ப்பாட்டத்தில்	protesting
தொட்டது	touched
சவுல்	saul
திருநங்கை	transgender
ஜான்ஸ்டன்	johnston
எண்ணமும்	artwork
வரையறு	refine
சரியானதாக	perfect
அரப்பா	harappa
ஜனநாயகம்	democracy
அய்சால்	aizawl
ஆரோக்கியமாக	healthy
இனப்படுகொலைகள்	natives
அசுவத்தாமன்	ashwatthama
தீத்து	titus
பிரசவ	childbirth
ஏற்றத்தாழ்வு	disparity
ஏற்றத்தாழ்வு	inequality
ராவணன்	ravan
ரோந்து	patrol
படகோட்டம்	sailing
ஐந்தாக்சைடு	pentoxide
கேலக்ஸி	galaxy
ரங்	rang
தளவாடங்களை	logistics
மெழுகுவர்த்தி	candle
சரளமாகப்	fluently
ஹோமோ	homo
கம்மம்	khammam
வெய்ன்	wayne
டேவிட்சன்	davidson
ஹைட்ரோ	hydro
லூசோன்	luzon
கிண்ணத்தில்	bowl
பால்மர்	palmer
லெஸ்டர்	lester
பேகூசராய்	begusarai
சொத்தாக	heirloom
ஆயுதமாக	backfires
பரதேசி	paradesi
ராக்ஸ்டார்	rockstar
சாயா	chaya
ரேடான்	radon
ஜமைக்கா	jamaica
சிவானந்த	sivananda
ஷெரீப்	sharif
வேகா	vega
அதிகாரங்களைக்	militarism
ரோனி	roni
ரோனி	ronnie
புயல்கள்	storms
ஸ்டில்	still
இண்டர்	inter
சூதாட்டம்	gambling
சூதாட்டம்	casino
திமீத்ரி	dmitri
நாபொலி	naples
டொமினி	domini
ராஜேந்தர்	rajendar
ராஜேந்தர்	rajinder
மின்னும்	sparkling
மலிந்த	malinda
சீழ்	pus
சிம்சன்	simpson
அதுல்	atul
திமில்	hump
பவேரியா	bavaria
பிரா	bra
டென்வர்	denver
சேறு	mud
லியோனார்டோ	leonardo
ரேவா	rewa
கான்பரா	canberra
டன்கிர்க்	dunkirk
சர்வே	survey
சுகன்யா	sukanya
விரிகோண	obtuse
ஜோதிகா	jyothika
சான்சி	chauncey
சோகம்	sadness
சோகம்	tragic
சோகம்	sad
இயக்கவும்	play
ஆர்கானிக்	organic
நிமி	min
புகலிடமாக	haven
},	},
குவா	qua
குவா	kua
முழுமையற்ற	incomplete
சவாலான	challenging
சுரண்டல்	exploitation
தகராறு	dispute
தொடர்ச்சியற்ற	finalized
யூரோப்பியம்	europium
பதிலளிப்பு	responsiveness
பதிலளிப்பு	reaction
தெகிவளை	dehiwala
சர்க்கஸ்	circus
சகிப்புத்தன்மை	tolerance
அன்பளிப்பு	gift
வாகனங்களும்	transports
சூயஸ்	suess
ஹீரா	heera
ஹீரா	hera
மார்கோ	marco
செக்கரியா	zechariah
சேவாக்	sehwag
மோரி	mori
ஏரியல்	ariel
ஏரியல்	aerial
எவருமில்லை	none
ரிச்சர்ட்ஸ்	richards
#புதிய	#new
மண்ணெண்ணெய்	kerosene
அல்ட்ரா	ultra
அழுகிய	rotten
செல்க	go
கொய்யா	guava
நிருபர்	journalist
நிருபர்	reporter
டோரதி	dorothy
குளவி	wasp
ஐசிஐசிஐ	icici
கூல்	cool
காதி	khadi
பவுண்டேஷன்	foundation
பிரமிடுகள்	pyramids
பெருமையுடன்	proudly
இரேனியம்	rhenium
தினார்	dinar
குரியன்	gurion
பீல்	peel
சுசி	sushi
சுசி	suzy
ஜூலியட்	juliet
லேகர்ஸ்	lakers
ஹரிஹரன்	hariharan
குலுக்கல்	shuffle
சுவிச்சர்லாந்து	switzerland
சாத்தியமற்றது	impossible
செபாஸ்டியன்	sebastian
பழக்கமான	familiar
வண்ணமயமான	colorful
லெக்	lek
குர்	gur
ஓத	tidal
சிறுநீரகங்கள்	kidneys
பாலசுப்ரமணியன்	balasubramanian
பொருத்தது	depends
பீமா	bhima
பந்தயங்கள்	betting
ஜாம்	jam
நைஜீரிய	nigerian
ஸ்டோர்	store
குறிப்பிடப்படாத	unspecified
டூன்	toon
ரேங்கின்	rankine
ஹேஸ்	haze
செம்பருத்தி	hibiscus
விஸ்வநாத	viswanatha
வறட்சியான	thyme
பிஜ்னோர்	bijnor
முள்ளெலி	hedgehog
சூனியம்	magic
தேடுவது	looking
பந்தி	bandi
டால்ஸ்டாய்	tolstoy
லினோலெனிக்	linolenic
கையாள்கிறது	tantrum
உஸ்மான்	usman
சேர்ப்புப்	associative
காலக்கெடு	timeline
மோகன்தாஸ்	mohandas
தேள்	scorpion
ஃபில்	phil
சிமோகா	shimoga
புத்ரா	putra
மங்கோலியாவில்	amused
கோமல்	komal
சந்தர்ப்பங்கள்	situations
ரன்வீர்	ranveer
வசிப்பிடம்	residence
சர்வாதிகாரம்	dictatorship
பனம்	palmyra
சந்நியாசம்	sannyasa
பிஸ்மார்க்	bismarck
கத்ரி	khatri
பதிவேற்றிய	uploaded
உத்தரகண்ட்	uttarakhand
விளையாட்டைப்	play
டிரினிட்டி	trinity
கேனரி	canary
கத்தரிக்காய்	eggplant
தடுப்பிகள்	inhibitor
மானுவல்	manuel
ஷாஹித்	shahid
யூதாசு	judas
தளர்வு	relaxation
கணிப்பான்	calculator
சண்டையிடும்	fighting
நியூட்ரினோ	neutrino
அவத்	avadh
மென்மை	soft
மென்மை	lighter
பழகிய	familiarity
விழாவுக்கு	fest
ரியால்	riyal
குளித்தல்	bathing
யுன்	yun
கொட்டாவி	yawn
ரோச்	roche
ரோச்	roach
மறைத்தல்	hiding
ரிச்சி	richie
ஓவர்சீஸ்	overseas
பெறுநர்	to
பெறுநர்	recipient
பெறுநர்	receiver
அசிரிய	assyrian
செப்துவசிந்தா	septuagint
ஃபெர்மா	fermat
சுவாசிலாந்து	swaziland
விரிவுரைகள்	lectures
ஜனனி	janine
ரம்பா	rambha
மர்லின்	marilyn
தொற்றும்	contagious
பீட்டர்ஸ்	peters
சினேகா	sneha
தவணை	pmt
தலையிட	intervene
மரியாதையை	respect
சொற்பொருளியல்	semantics
பொம்மலாட்டம்	puppetry
கலாபவன்	kalabhavan
மடக்கு	loop
மேன்மையான	super
கவலைகள்	worries
கவலைகள்	concerns
நிபுணர்களின்	dresser
காயங்களை	wounds
தருவதற்கு	assure
மூடுபனி	fog
மந்தை	swarm
ஸ்வாமி	swami
அண்டங்கள்	testicles
செரி	cheri
ஸ்மிதா	smitha
இளமையான	youngest
இளமையான	young
அன்பான	loving
முதியவர்கள்	elders
முதியவர்கள்	oldies
பற்பசை	toothpaste
ஒன்றிணைப்பு	concatenation
அல்ஜியர்ஸ்	algiers
தைலம்	balm
தற்பெருமை	brag
தாய்பெய்	taipei
ஸ்பியர்ஸ்	spears
நொந்து	burnt
ரூசோ	russo
செண்டை	chenda
வெப்பமானி	thermometer
கான்வென்ட்	convent
டார்ச்	torch
டோகோ	togo
டோகோ	tools
வருகிறாள்	recovering
எட்வர்ட்ஸ்	edwards
டிக்கி	tiki
புதியது	new
தூலியம்	thulium
காமத்	kamat
காமத்	kamath
அன்போடு	obsessed
லாட	horseshoe
ஐதரைடு	hydride
ஒலிம்பிக்ஸ்	olympics
விராட	virata
ஆசிரம	ashrama
பொருளாளர்	treasurer
பொருளாளர்	secretary
நாதிர்	nader
இனிப்பான	sweetened
தடுக்கப்பட்டது	blocked
உள்ளிடு	enter
மதச்சார்பற்ற	secular
எழுதக்கூடிய	writable
பேஸ்புக்	facebook
சியன்	sean
ஜஹாங்கீர்	jahangir
கியான்	kian
கியான்	gyan
புலன்கள்	senses
கம்பளம்	carpet
சாம்பிராணி	frankincense
போலீசார்	cops
ஃபிரீமன்	freeman
வாகா	wagah
யெரெவான்	yerevan
இலட்சுமணன்	lakshmana
பதூதா	battuta
படிக்கட்டு	stairs
தீமைகள்	cons
தீமைகள்	evil
நாஸ்	naz
நாஸ்	nas
வெளியீட்டாளர்கள்	publishers
ஓமன்	oman
இரவல்	borrowed
செழிப்பு	prosperity
டீலக்ஸ்	deluxe
நைலான்	nylon
அவுன்ஸ்	ounce
அவுன்ஸ்	oz
விவரணம்	description
பம்ப்	pump
எளிமையானது	simple
சுவாரசியமான	interesting
துன்புறுத்தல்	persecution
துன்புறுத்தல்	harassment
மிதி	pedal
வேலைநிறுத்தம்	strike
கத்திகள்	knives
இம்சை	torture
டப்பிங்	dubbing
மாண்டி	mandy
மரீனோ	marino
கணி	calculators
கணி	calculator
கணி	compute
கணி	calculate
மித்ரா	mitra
ஜென்னா	jeena
ஜென்னா	jenna
ஊழியர்களும்	employees
தருண்	tarun
குறும்பா	kurumba
தந்திரமாக	tricky
குறுந்தகடு	cd
லூகாஸ்	lucas
சிக்கலில்	conflicted
பால்டிமோர்	baltimore
கங்காரு	kangaroo
ரசூல்	rasool
குர்திஸ்தான்	kurdistan
டார்	tar
டார்	dard
சட்னி	chutney
ஏமாற்றும்	cheat
ஏமாற்றும்	cheating
அழுகை	cry
அழுகை	crying
கிப்ளிங்	kipling
உலர்த்தி	dryer
தப்பு	fault
தப்பு	wrong
பாஜி	bhaji
டொமினிக்கா	dominica
மறுக்கின்றனர்	refusing
ஹர்பஜன்	harbhajan
சிஞ்சியாங்	xinjiang
இலவாசியே	lavoisier
கங்குலி	ganguly
மலையாளி	malayali
புர்க்கினா	burkina
மோரிஸ்	morris
ராட்	rod
பந்தன்	bandhan
தொகுப்பி	assembler
தொகுப்பி	hex
தொகுப்பி	editor
தொகுப்பி	composer
தளர்வான	slack
பைக்	pike
பைக்	bike
ஐஐடி	iit
கொலுசு	anklet
கயல்	kayal
போக்	poke
பன்	bun
சிபாரிசு	intercession
யென்	yen
தேரா	tera
தலித்துகள்	dalits
பீடி	pete
வெளியிடு	publish
அல்பேனிய	albanian
கேப்ரியல்	gabriel
ருத்தேனியம்	ruthenium
இனிமையாக	sweet
சகுனி	shakuni
வினோத	bizarre
தூக்கில்	hanged
ஓரியன்	orion
சாப்பாடு	food
சாப்பாடு	meal
ஹராம்	haram
விவாதிக்க	discuss
கட்டுக்கதை	myth
தகர	tin
லென்	len
கேமராக்கள்	cameras
கர்டிஸ்	curtis
ஸ்டெயினர்	steiner
கீரைகள்	greens
வில்லிஸ்	willis
டொயோட்டா	toyota
சேலைகள்	sarees
ஹவா	hawa
விஜி	viji
செயல்படாத	inactive
வளமை	lush
வலியுறுத்தல்	endorsement
மிருதுவான	crisp
தூக்கும்	lifting
சிலம்பன்	babbler
ஜடேஜா	jadeja
சாதனா	sadhana
டம்	dum
சுக்கிரன்	trickle
நிபந்தனையற்ற	unconditional
ஜில்லா	zilla
மிதுன்	mithun
போடு	put
யவ்	yau
சோரா	sora
கருத்துகளில்	comments
மெரீனா	marina
நேர்த்தி	elegance
தகுதியுள்ள	qualifying
பெவர்லி	beverly
ஏணி	ladder
சோதிக்கப்பட்டது	tested
சாட்டை	whip
எடித்	edith
பாதுகாவலர்கள்	protectors
பொப்பர்	popper
அவிலா	avila
சூசி	susie
ஆண்மகன்	danilo
விழுதல்	fall
பர்ட்டன்	burton
போஸ்டர்	poster
கௌடா	gowda
ரவூப்	rauf
லக்ஷ்மன்	laxman
பைக்கோ	biko
எச்ச	residual
சமீரா	samira
மேமன்	memon
கொலோன்	cologne
சாக்ஸ்	sox
சாக்ஸ்	sax
காஜாங்	kajang
மனைவிக்கும்	wife
மரங்கொத்தி	woodpecker
ஓரணு	monatomic
சர்ரே	surrey
தர்பங்கா	darbhanga
டாஸ்மான்	tasman
அவமானம்	shame
அவமானம்	ashamed
அவமானம்	insult
கியூரியம்	curium
அமைடு	amide
மணலி	manali
பஹ்ரைன்	bahrain
மெண்டல்	mendel
வீடியோவை	video
தாராள	generous
ஹெபடைடிஸ்	hepatitis
அயோவா	iowa
லீனா	leena
தயாள்	dayal
செனகல்	senegal
தாதர்	dadar
பிரிட்னி	britney
பிராங்கோ	franco
டாவ்	tau
சிலம்பரசன்	silambarasan
ஜெஸ்ஸி	jessie
ஜெஸ்ஸி	jesse
சொன்னேன்	said
சொன்னேன்	told
டானி	dani
மாடல்கள்	models
சரளமாக	fluent
கிரிஜா	girija
அறையை	room
மணப்பெண்	bride
மணப்பெண்	bridal
கிரெக்	greg
சைபர்	cyber
பட்டன்	button
வில்லியர்ஸ்	villiers
குல்கர்னி	kulkarni
சுக்மா	sukma
கிராம்பு	clove
காத்தலோனியா	catalonia
ஸ்பிரிங்	spring
புறக்கணிக்கப்பட்ட	ignored
வர்ணனை	commentary
சல்பூரிக்	sulfuric
அனைவர்	kneeling
காசுப்பியன்	caspian
மனிதம்	humanity
குடம்பி	larva
நார்டன்	norton
கிட்டி	kitty
பிரெய்லி	braille
மார்ட்	mart
ஹயாம்	hayam
ஹிலாரி	hillary
எராஸ்மஸ்	erasmus
மறுக்கிறது	denies
உய்குர்	uyghur
ஜாங்	jong
சீரியஸ்	serious
பொருந்தக்கூடிய	compatibility
மறைவான	unseen
நச்சியல்	toxicology
ராஜாராம்	rajaram
லக்	luck
பாண்	bon
வேலைக்காரி	maid
பெட்டாலிங்	petaling
இழு	drag
மாவோயிஸ்ட்	maoist
லாலு	lalu
ஹர்ஷத்	harshad
ஆர்க்கிட்	orchid
டெர்பியம்	terbium
கோல்மன்	coleman
பெர்னதெத்	bernadette
ரோமா	roma
சம்பளத்தில்	paycheck
அச்சிடுதல்	printing
ஜென்மபூமி	janmabhoomi
போக்கர்	poker
நன்றே	aware
கொட்டு	bleed
டெக்னீசியம்	technetium
எல்விஸ்	elvis
பீனால்	phenol
ஒத்திருக்கின்றன	aligned
கரீம்நகர்	karimnagar
வூட்	woot
லைசின்	lysine
பல்ஸ்	pulse
போர்க்களம்	battle
விருப்பத்தேர்வு	optional
விருப்பத்தேர்வு	preference
ஜிசாட்	gsat
சுடுகலன்	firearm
யாப்	yap
குரூம்	croom
பற்றவைப்பு	ignition
ஸின்	xin
தர்மா	dharma
கேபிடல்	capitol
குரோன்	krone
பிளாஷ்	flash
ஆட்டி	atty
குணமாக்கும்	heal
வோல்கா	volga
ஹவேலி	haveli
அட்ரியன்	adrian
துளசிதாசர்	tulsidas
எலக்ட்ரானிக்ஸ்	electronics
சவான்	chavan
தரகர்கள்	brokers
சுமத்ரா	sumatra
கண்டுபிடிக்கவும்	discover
வாட்ஸ்	watts
ரோலண்ட்	rolland
ரோலண்ட்	rowland
மாலா	mala
கதைக்கரு	storyline
அய்	ay
லிவ்	liv
வெற்றிபெறும்	winning
கமிசன்	commission
போஸ்கோ	bosco
குறுவட்டு	compact
சத்குரு	sadguru
சத்குரு	satguru
மூடப்பட்டுள்ளது	closed
நிர்வாணமாக	naked
நிர்வாணமாக	nude
சுற்றுக்கள்	laps
சில்வெஸ்டர்	sylvester
வாடியா	wadia
நட	walk
கீன்	keene
முறிந்த	broken
பெண்ணே	girl
வாலஸ்	wallace
பெரமுன	peramuna
புல்லட்	bullet
தார்மீக	moral
நல்லிணக்கம்	harmony
ஏறுதல்	climbing
மாலத்தீவு	maldives
தாம்பூலம்	paan
க்ரூப்	krupp
பித்தாகரஸ்	pythagoras
பிருந்தாவனம்	vrindavan
ரங்கன	rangana
உண்	eat
தெரிவுகள்	options
தெரிவுகள்	choices
அழுகல்	rot
பெற்றோரும்	parents
மறுபரிசீலனை	reconsider
டெபாசிட்	deposited
டெபாசிட்	deposit
பாண்டா	panda
செண்டாரி	centauri
நீட்டிக்க	extend
ஜாட்	jat
ஜாட்	jatt
தயாரானது	daylight
பதிவுசெய்தல்	signup
பதிவுசெய்தல்	registration
ரியாஸ்	riaz
வெளிப்படையாகவே	apparently
சுக்தேவ்	sukhdev
ரீட்டா	rita
ரமணன்	ramanan
ரூபன்	ruban
ரூபன்	reuben
ரூபன்	ruben
சிக்கனம்	efficient
ரூமி	rumi
டிக்சன்	dixon
டிக்சன்	dickson
எழுத்துப்பிழை	spelling
பரிந்து	intercede
அகஸ்டஸ்	augustus
ககாரின்	gagarin
பங்காரு	bangaru
ஜெயந்த்	jayant
ஹர	har
இலந்தை	lote
சம்பர்க்	sampark
டாக்ஸ்	dax
வைசியர்	vaishya
மதுபானங்கள்	spirits
வாழ்த்துகிறேன்	wishing
பதுங்கு	bunker
சாண்டோ	santo
கணக்காளர்	accountant
வார்ட்	ward
முல்தான்	multan
உபாசனை	upasana
சித்	sid
குரோசாவா	kurosawa
நிறுவல்கள்	installs
நிறுவல்கள்	installations
நெவில்	neville
மேன்மையை	greatness
ஸ்டான்	stan
குற்றச்சாட்டை	allegation
சோனு	sonu
லாங்டன்	langton
நாட்டாரியல்	folklore
டுவிட்டர்	twitter
ஆல்டிகைடு	aldehyde
ஓபரா	opera
அன்னபூர்ணா	annapurna
பெயரடை	adjective
படா	bada
கரோட்டின்	carotene
தூங்க	hypnotic
காயத்தை	wound
ஸ்குவாஷ்	squash
பதிவேற்று	upload
வட்டில்	checks
ஆன்சன்	anson
சூப்	soup
லீட்	lead
#இந்திய	#indian
பயன்பாட்டைப்	app
ரமண	ramana
போனஸ்	bonus
போனஸ்	bonuses
ஸ்டில்லர்	stiller
மகரம்	capricorn
சுற்றோட்டத்	circulatory
மருந்தளவு	dosage
உதய்	uday
பிரசவம்	maternity
சுவாகிலி	swahili
ரயிலில்	train
முரட்டு	rogue
டல்லாஸ்	dallas
சல்லிவன்	sullivan
பயணங்களில்	journeys
ரிச்சர்ட்சன்	richardson
துளுவ	tuluva
யாதும்	dolor
சீரமைக்க	revamp
மேத்யூ	mathew
பாகீரதி	bhagirathi
மேக்னா	meghna
தோட்டா	bullet
வழிகாட்டுதல்கள்	guidelines
